"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2138","Проверить пагинацию на главной странице","chromium","Thu Feb 13 01:00:27 GMT 2025","passed","Thu Feb 13 01:00:29 GMT 2025","","ui.tests.js","",""
"","241","Выбрать определенное задание GET /todos @API","chromium","Thu Feb 13 01:00:25 GMT 2025","passed","Thu Feb 13 01:00:25 GMT 2025","API challenge","api.tests.js","",""
"","3704","Проверить отображение товара на главной странице","chromium","Thu Feb 13 01:00:31 GMT 2025","passed","Thu Feb 13 01:00:35 GMT 2025","","ui.tests.js","",""
"","237","Получить список заданий GET /todos @API","chromium","Thu Feb 13 01:00:24 GMT 2025","passed","Thu Feb 13 01:00:25 GMT 2025","API challenge","api.tests.js","",""
"","255","Нельзя запросить несуществующий todo GET /todos @API","chromium","Thu Feb 13 01:00:25 GMT 2025","passed","Thu Feb 13 01:00:25 GMT 2025","API challenge","api.tests.js","",""
"","321","Получить полный список челленджей GET /challenges @API","chromium","Thu Feb 13 01:00:24 GMT 2025","passed","Thu Feb 13 01:00:24 GMT 2025","API challenge","api.tests.js","",""
"","223","Выбрать несуществующее задание GET /todos @API","chromium","Thu Feb 13 01:00:25 GMT 2025","passed","Thu Feb 13 01:00:25 GMT 2025","API challenge","api.tests.js","",""
"","6626","Выбрать количество товара в карточке","chromium","Thu Feb 13 01:00:57 GMT 2025","passed","Thu Feb 13 01:01:03 GMT 2025","","ui.tests.js","",""
"","11321","Опубликовать отзыв на странице продукта","chromium","Thu Feb 13 01:00:45 GMT 2025","passed","Thu Feb 13 01:00:57 GMT 2025","","ui.tests.js","",""
"","10103","Выбрать валюту в карточке товара","chromium","Thu Feb 13 01:00:35 GMT 2025","passed","Thu Feb 13 01:00:45 GMT 2025","","ui.tests.js","",""
